,Role,Company,Location,Contract,Salary,Job_description
467,Healthcare Analyst - Junior,Prometheus Federal Services,,,,"['Analyst Prometheus Federal Services (PFS), a public sector firm, looking for a Healthcare Analyst in Washington, DC to work closely with and support a Federal agency client. Duties and Responsibilities The Analyst supports Federal agency clients in tasks requiring program planning, audits, and evaluations related to various healthcare programs and projects. Tasks may include: Supporting program analysis, strategic planning, integrated master scheduling, event planning, meeting facilitation, policy, metrics, financial management systems, data compilation and presentation, evaluation, research, and risk management. Minimum Qualifications Bachelor’s degree in Public Health, Public Administration, Business or other similar field 1-3 years of experience Excellent oral and written communication skills Highly proficient with MS Office Suite (Word, Excel, Power Point, Visio, etc.) Excellent written and verbal communications skills Proven ability to work both independently and collaboratively Authorized to work in the U.S. without sponsorship indefinitely Ability to obtain a Public Trust if required Preferred Qualifications Experience with Department of Veterans Affairs highly preferred Healthcare consulting experience highly preferred All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, or national origin. Powered by JazzHR M7C0KM7giM']"
468,Practice Assistant II/ 40 hrs/Monday-Friday 6:30am-3:00pm,Brigham & Women's Hospital(BWH),,,,"['Monay-Friday 6:30am-3:00pm Employee Status Regular Recruiting Department BWH Radiology Job Posting Nov 5, 2020']"
469,"Client Support Intake Specialist, After Hours- Remote, Part Time",Lyra Health,,,,"['About Lyra Health Lyra is transforming mental health care through technology with a human touch to help people feel emotionally healthy at work and at home. We work with leading companies, such as Starbucks, Morgan Stanley, Facebook, Uber and other Fortune 500 companies, to deliver instant access to effective, high-quality mental health care for their employees and their families. Our innovative digital care platform and elite provider network offers life-changing mental health care to more than 1.5 million people today. Founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised more than $292 million from leading investors, including Addition, Adams Street, Venrock, Greylock, Glynn Capital, Tenaya Capital, IVP, Meritech, and others.  Job Description: The Client Support Intake Specialist will support Lyra clients by conducting needs assessments, answering benefit and technical questions, scheduling with providers, and proactively following up with clients who are in care. This specialist will collaborate and escalate clients with complex needs to our clinicians. This role will work primarily with clients and will be the first point of contact for high risk cases and individuals in distress. Lyra will provide training on how to handle these cases in a supportive environment. The specialist will need to be comfortable discussing sensitive topics. Above all, this specialist is committed to supporting each and every client that reaches out with competency and compassion. Role and Requirements: Part Time: Shift 1: Sat AM- Sunday AM: 3AM -12PM PST, Shift 2: 11AM-8PM PST, Shift 3: SAT: 7PM -4AMPST, SUN/MON 7PM-4AM PST Effectively and professionally communicate with clients via email, phone, and chat Conduct needs assessment and educate clients about Lyra’s services Answer benefit questions and help navigate to other benefits Coordinate with providers around scheduling needs via email and phone Proactively check in with clients using email Adhere to standards of service operations, documentation and privacy at all times Collaborate proactively and effectively across the care team Commit to Lyra’s process of continuous self-improvement, Lyra’s product and service offering, and to your fellow team members Assist with other projects Fast-paced environment - We move quickly to evolve tools and protocols based on data so we need people who are comfortable with constant change, feedback, and improvement. Dynamic roles - You’ll be expected to support clients and go beyond by contributing to protocols, providing product feedback, and thinking critically about our care model. Unlike larger companies, we are building the company from the ground up and many of our processes will continue to evolve to help better service our clients. High expectations - We are a small team looking to make a huge impact so we expect dedication and positive collaboration from every team member. Past experience working with patients or clients over the phone: reimbursement specialist, patient advocacy, or intake. Demonstrate flexibility with shift changes. Agility: you flourish in a fast-paced, rapidly changing environment Proven performance: you’ve excelled in roles with constant evolving responsibilities Excellent communication skills: written and verbal Thoroughness: you are detail-oriented Time management: you efficiently move through a to-do list Tech Savvy: you easily navigate new systems Research: you quickly navigate the internet to gather information Eagerness to learn: you’re excited to work in digital health within a start-up  This is a remote position so it is required to have quiet and secure place to take client calls.  We are an Equal Opportunity Employer. We do not discriminate on the basis of race, religion, color, sex, age, national origin or disability.']"
470,Core Measures and Registry Data Abstractor,American Data Network,,,,"['Employment Type FULL-TIME OR CONTRACTOR Industry Healthcare Job Location Remote work possible Description Performs primary data abstraction duties for Core Measures and registries and ensures high levels of abstraction accuracy for assigned accounts via validation activities. Demonstrates strong communication, documentation, organizing and planning skills to ensure strong leadership of multiple accounts concurrently.  Qualifications One year of data abstraction experience required Experience with at least one registry is desirable: NCDR-CathPCI, NCDR-ICD, GWTG-Stroke, GWTG-Heart Failure, Chest Pain-MI, NSQIP, and/or STS Experience preferred in cardiac registries, Get with the Guidelines registries (especially Stroke and Comprehensive Stroke), and Core Measures Familiar with medical records, billing/documentation practices, and standard healthcare quality concepts Ability to work independently Relies on experience and judgment to plan/accomplish goals Maintains a strict level of confidentiality in all aspects of work Demonstrates a high standard of accuracy and attention to detail Excellent interpersonal and communication skills Full-time positions with benefits as well as contracting positions available BSN, LPN or RN preferred CPHQ preferred']"
471,Clinic Office Assistant (Cinic; Full-Time; Day Shift),"Natchez Clinic Company, LLC",,,,"[""Interacts with the patient to ensure that the check-in and check-out is carried out efficiently. Answers questions about the facility's policies and services. Makes advance appointments and handles special requests. Issues invoices and collects fees.  Performs administrative duties such as answering phones, cleaning work space, and assisting managers and supervisors as needed. Familiar with standard concepts, practices, and procedures within a particular field. Relies on limited experience and judgment to plan and accomplish goals. Performs a variety of tasks.  Works under general supervision. A certain degree of creativity and latitude is required. Typically reports to a supervisor or manager. High school diploma or its equivalent and 0-2 years of related experience.  Previous clinic experience preferred.""]"
472,Medical Payment Poster,"Computer Programs & Systems, Inc",,,,"['TruBridge brings years of expertise in delivering effective business, consulting and managed IT services created for the unique challenges faced by rural and community healthcare providers. We offer a broad range of services, from consulting and managed IT to full business process outsourcing that spans the revenue cycle from end to end. Our professionals have been helping hospitals and other healthcare institutions become more efficient at serving their communities for years. We are an Equal Opportunity Employer. TruBridge is seeking qualified medical payment posters to join our growing team. Responsibilities Include: Daily cash reporting Cash posting using Excel/Access and company software programs Post denials to patient accounts Assist other projects as needed Assist other members of the team as needed Working knowledge of EOB?s, EFT?s and ERA?s Balance payments posted back to the original deposit amounts Transfer copay/coinsurance and deductible balances to patient responsibility Post some contractual adjustments to patient accounts Other duties as assigned  Technical Specifications: Base download/upload internet speed of at least 5Mbps - SATELLITE/HOT SPOT INTERNET IS NOT ACCEPTABLE. Quiet, dedicated space to work All equipment will be provided by TruBridge  Candidate Requirements: High School diploma, GED or equivalent 3+ years of previous experience in medical billing and general office procedures Ten Key Minimum of 8,000 KPH Type minimum of 35 wpm 3+ years previous experience Medical Cash Posting Ability to read and understand EOBs Excellent Excel skills Excellent verbal and written skills.']"
473,Prior Authorization Coordinator,Soleo Health,,,,"['Soleo Health is seeking a Prior Authorization Coordinator to work remotely. This position will follow prior authorization work flow, policies and procedures.  ESSENTIAL DUTIES AND RESPONSIBILITIES  Receive requests for prior authorizations and ensure that they are properly and closely monitored within company set standards Review accuracy and completeness of information requested and ensure that all supporting documents are present Assist with medical necessity documentation to expedite approvals and ensure that appropriate follow-up is performed Collaborate with other departments to assist in obtaining prior authorizations/appeals Manage correspondence with insurance companies and internal customers as required Document all interactions with insurance companies within pharmacy system Document all prior authorization information including approval dates, billing units, procedure codes, and prior authorization number in patient profile Review insurance denials and submit appeals (as permitted by payor) Proactively work on prior authorizations that are due to be expired Secure patients’ demographics and medical information by using discretion and ensuring that all procedures are in sync with HIPAA compliance and regulation Conducts job responsibilities in accordance with the standards set out in the Company’s Code of Business Conduct and Ethics, its policies and procedures, the Corporate Compliance Agreement, applicable federal and state laws, and applicable professional standards Completes all required duties, projects and reports in a timely fashion on a daily, weekly, or monthly basis per the direction of the leadership. Other duties as assigned  QUALIFICATION REQUIREMENTS  At least 2 years’ experience in specialty pharmacy, home infusion, or other pharmacy prior authorization is required At least 1 year of experience applying knowledge of Medicare, Medicaid, and Managed Care reimbursement guidelines Ability to effectively handle multiple priorities within a changing environment Experience in diagnosing, isolating, and resolving complex issues and recommending and implementing strategies to resolve problems. Intermediate level skill in Microsoft Excel (for example: using SUM function, setting borders, setting column width, inserting charts, using text wrap, sorting, setting headers and footers and/or print scaling). Intermediate level skill in Microsoft Word (for example: inserting headers, page breaks, page numbers and tables and/or adjusting table columns).']"
474,"Client Support Intake Specialist- Remote, Full Time",Lyra Health,,,,"['About Lyra Health Lyra is transforming mental health care through technology with a human touch to help people feel emotionally healthy at work and at home. We work with leading companies, such as Starbucks, Morgan Stanley, Facebook, Uber and other Fortune 500 companies, to deliver instant access to effective, high-quality mental health care for their employees and their families. Our innovative digital care platform and elite provider network offers life-changing mental health care to more than 1.5 million people today. Founded by David Ebersman, former CFO of Facebook and Genentech, Lyra has raised more than $292 million from leading investors, including Addition, Adams Street, Venrock, Greylock, Glynn Capital, Tenaya Capital, IVP, Meritech, and others.  Job Description: The Client Support Intake Specialist will support Lyra clients by conducting needs assessments, answering benefit and technical questions, scheduling with providers, and proactively following up with clients who are in care. This specialist will collaborate and escalate clients with complex needs to our clinicians. This role will work primarily with clients and will be the first point of contact for high risk cases and individuals in distress. Lyra will provide training on how to handle these cases in a supportive environment. The specialist will need to be comfortable discussing sensitive topics. Above all, this specialist is committed to supporting each and every client that reaches out with competency and compassion. Role and Requirements: Effectively and professionally communicate with clients via email, phone, and chat Conduct needs assessment and educate clients about Lyra’s services Answer benefit questions and help navigate to other benefits Coordinate with providers around scheduling needs via email and phone Proactively check in with clients using email Adhere to standards of service operations, documentation and privacy at all times Collaborate proactively and effectively across the care team Commit to Lyra’s process of continuous self-improvement, Lyra’s product and service offering, and to your fellow team members Assist with other projects Fast-paced environment - We move quickly to evolve tools and protocols based on data so we need people who are comfortable with constant change, feedback, and improvement. Dynamic roles - You’ll be expected to support clients and go beyond by contributing to protocols, providing product feedback, and thinking critically about our care model. Unlike larger companies, we are building the company from the ground up and many of our processes will continue to evolve to help better service our clients. High expectations - We are a small team looking to make a huge impact so we expect dedication and positive collaboration from every team member. Past experience working with patients or clients over the phone: reimbursement specialist, patient advocacy, or intake. Demonstrate flexibility with shift changes. Agility: you flourish in a fast-paced, rapidly changing environment Proven performance: you’ve excelled in roles with constant evolving responsibilities Excellent communication skills: written and verbal Thoroughness: you are detail-oriented Time management: you efficiently move through a to-do list Tech Savvy: you easily navigate new systems Research: you quickly navigate the internet to gather information Eagerness to learn: you’re excited to work in digital health within a start-up This is a remote position so it is required to have quiet and secure place to take client calls.  We are an Equal Opportunity Employer. We do not discriminate on the basis of race, religion, color, sex, age, national origin or disability.']"
475,Medical Scribe,CHOC Children's,,,,"['Work Location Orange, California  Work Shift Day – 08hrs (United States of America) Why CHOC? At CHOC Children’s, we strive to be the leading destination of children’s health by providing exceptional and innovative care. We are responsible for the overall health of our community’s pediatric population in our hospitals, clinics, and practices. And because of our breadth of care, your career at CHOC Children’s can be as diverse and fulfilling as you determine. CHOC Children’s compensation structure, benefits offerings, and career development programs are geared to helping you achieve your professional and personal goals. Apply now to see where your career at CHOC Children’s can take you. Job Summary The Medical Scribe provides all clerical and information technology functions for providers in the clinical setting. This includes documentation of provider dictated patient history, physical examination, family, social and past medical history, as well as documents procedures, laboratory testing and results, dictated radiographic impressions, and other information pertaining to the patient’s visit. Anticipates provider needs to facilitate clinic flow. The primary role of the Medical Scribe is to increase efficiency of providers and improve overall patient experience. Experience • Required: None. Education • Required: High School Diploma, GED or equivalent. Special Skills • Required: Basic knowledge of healthcare terminology. Detail oriented with strong organizational skills. Effective listening skills. Possesses strong communication skills in coordinating work efforts ; th orough record keeping skills ; p ositive customer service focus ; s trong team and interpersonal skills ; d iscreet, tactful, and respectful of providers and patients/parents. • Preferred: Minimum 60 WPM typing speed. Licensure • Required: None.']"
476,Patient Advocate (Medicaid Eligibility),Cognizant Technology Solutions,,,,"[""Patient Advocate  Cognizant (formerly Bolder Healthcare Solutions) is currently hiring for a Patient Advocate to join our team in Charlotte, NC . We are currently hiring for full-time schedules and are seeking professional, motivated individuals who are passionate about helping those in need.  Schedule: full time, Monday-Friday 8:00am – 4:30pm  Position Description: The Patient Advocate will assist patients in a hospital setting with applications for benefits through Medicaid, Social Security Disability and/or hospital charity program assistance. We ensure that Medicaid, Social Security, County Indigent or other types of eligible funding for health care services is received for patients onsite at a local hospital. This includes assisting the patients and others to complete forms, applications and other paperwork. Other duties will be assigned.  Responsibilities include but are not  limited to: Collect and review patient information to determine patient's eligibility for Medicaid and charity programs Prepare documents; review for accuracy and completeness Provide technical assistance on agency issues, services, program(s) Maintain and/or create files or record keeping systems. Sort, label file and retrieve documents or other materials Ensure adequate documentation is maintained Manage caseload (uphold daily productivity standards) Computer proficiency skills are required Retrieve, sustain and communicate all designated reports Maintain database (This would include documentation of face-to-face and telephone patient contacts. Daily goals will be assigned and monitored) Develop and maintain professional relationship with hospital staff  Employee Status : Full Time Employee Shift : Day Job Job Posting : Nov 09 2020  About Cognizant Cognizant (Nasdaq-100: CTSH) is one of the world's leading professional services companies, transforming clients' business, operating and technology models for the digital era. Our unique industry-based, consultative approach helps clients envision, build and run more innovative and efficient businesses. Headquartered in the U.S., Cognizant is ranked 194 on the Fortune 500 and is consistently listed among the most admired companies in the world. Learn how Cognizant helps clients lead with digital at www.cognizant.com or follow us @USJobsCognizant.  Cognizant is recognized as a Military Friendly Employer and is a coalition member of the Veteran Jobs Mission. Our Cognizant Veterans Network assists Veterans in building and growing a career at Cognizant that allows them to leverage the leadership, loyalty, integrity, and commitment to excellence instilled in them through participation in military service. Cognizant is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to sex, gender identity, sexual orientation, race, color, religion, national origin, disability, protected Veteran status, age, or any other characteristic protected by law. If you have a disability that requires a reasonable accommodation to search for a job opening or submit an application, please email CareersNA2@cognizant.com with your request and contact information.""]"
477,Healthcare Data Analyst I - Quality Systems,Inland Empire Health Plans,,,,"[""Position Summary/Position  Under the direction of the Quality Systems Leadership Team, the Healthcare Data Analyst I – Quality Systems (HDA I) is responsible for providing technical, analytical, and reporting support for the Health Plan Clinical and Provider departments, programs, and quality activities. The HDA I must understand relational database concepts, table design and structure, joins, data normalization, and data types. In addition to technical data concepts, the HDA must have strong understanding of research methods and statistical concepts to design reliable studies/analyses, and payment algorithms. Responsible for managing assigned reporting projects to ensure that data and analysis requests are completed timely, accurately while presented in a way that meets the needs of the requesting department. The HDA I must be able to assess requests and solicit feedback from requestors regarding any critical decision points that are necessary to complete requests accurately and timely. To do this effectively, the HDA I must have knowledge of the various data sources available for reporting and must have a clear understanding of IEHP business operations in order to appropriately apply criteria and methodology to meet requestors’ needs. The HDA I must demonstrate effective communication skills with Team Members at all levels within the organization. It is also necessary to understand how Quality Systems deliverables - including standard reports, ad-hoc requests, studies, analyses, and recommendations - can impact business operations at IEHP. Major Functions (Duties and Responsibilities)  1. Develops and prepares reports to support IEHP’s clinical and provider units utilizing available analytics and data mining tools, including but not limited to: Microsoft Applications (including MS Access), SAS, SPSS, Crystal Reports, system-specific reporting tools (e.g., MedHOK, CRM,) or other related reporting software. 2. Exercises timely and accurate data mining techniques and develops new or modifies existing reports that ensure consistent conclusions to data analysis. 3. Use analytical skills to determine solutions and resolve problems 4. Responsible for evaluating report requests to determine requestor’s needs and objectives, identifying correct methodology for extracting data including data sources and criteria, and ensuring the delivered report is accurate, timely, and formatted appropriately. 5. Responsible for understanding the various data sources available within IEHP for reporting and analysis, as well as a clear understanding of IEHP business operations to be able to appropriately guide the development of quality program activities, including analysis and reporting. 6. Significant participation in analysis, interpretation, and translating of complex health plan data, issues, trends, and relationships into effective strategies and action plans. 7. Responsible for managing assigned projects and effectively communicating with the QS leadership team any project deadlines that may be in jeopardy of being met, well in advance of the due date. 8. Document all analysis / reporting projects following established protocols, ensuring replication of results by an independent reviewer. 9. Demonstrate a commitment to incorporate LEAN principles into daily work. 10. Establish and maintain effective working relationships with others throughout the organization. Experience Qualifications  3-5 years of relevant experience - Will accept Master’s Degree in lieu of experience Preferred Experience  Experience in the healthcare field is preferred. Education Qualifications  Bachelor's degree from an accredited institution required. Preferred Education  Master’s degree from an accredited institution preferred. Professional Licenses Knowledge Requirement  Working knowledge of data analysis, study methodology, and preparing professional documents. Basic understanding of statistical methods. Extensive knowledge of Microsoft Access, SAS, SSRS or other statistical applications are essential. Skills Requirement  Data analysis, data presentation, spread sheet and database capabilities. Proficiency in Microsoft Excel, Word. Excellent interpersonal/communication skills. Abilities Requirement  Strong problem solving capability. Strong attention to detail. Ability to handle multiple projects. Commitment to Team Culture  The IEHP Team environment requires a Team Member to participate in the IEHP Team Culture. A Team Member demonstrates support of the Culture by developing professional and effective working relationships that include elements of respect and cooperation with Team Members, Members and associates outside of our organization.  Starting Salary: $75,296.00 - $95,992.00 Pay rate will commensurate with experience  Inland Empire Health Plan (IEHP) is the largest not-for-profit Medi-Cal and Medicare health plan in the Inland Empire. We are also one of the largest employers in the region. With a provider network of more than 6,000 and a team of more than 2,000 employees, IEHP provides quality, accessible healthcare services to more than 1.2 million members. And our mission and core values help guide us in the development of innovative programs and the creation of an award winning workplace. As the healthcare landscape is transformed, we’re ready to make a difference today and in the years to come. Join our Team and Make a Difference with us! IEHP offers a Competitive salary and a benefit package with a value estimated at 35% of the annual salary, including medical, dental, vision, team bonus, and retirement plan.""]"
478,Patient Access Representative,Erie Family Health Center,,,,"[""Erie Family Health Center is looking for an energetic, friendly, compassionate, team-oriented, responsible, innovative, fun individual like you to join our Patient Access Center! The Patient Access Representative is the first point of contact for our patients, who ensure they receive high-quality care.  Responsibilities Handle patients’ requests, over the phone, for all Erie locations while applying correct workflows and protocols Simultaneously collect information from patients and key data in our EMR system Centricity. Schedule In-Person and Telehealth appointments at Erie locations Register and verify insurance eligibility Promote key initiatives for Patient Access Center and Erie overall Adhere to strict HIPAA guidelines when speaking with patients and families Route calls to correct administrative and clinical departments after assessing patients’ needs Supports departmental changes, demonstrating flexibility and a positive attitude in a fast paced, changing environment Qualifications Requirements High School Diploma or equivalent. One year of customer service experience; healthcare or call center experience preferred Strong computer skills including Microsoft Office Ability to type at minimum 25 words per minute Exhibits essential Customer Service focused commitment demonstrating active listening, focus on issue resolution, sharp attention to detail, and analytical and problem-solving abilities to meet and exceed the needs of our patients Demonstrates importance of attendance and maintaining a positive work environment, arriving on time and with minimal absenteeism Previous work from home experience is preferred but not required Eager to accept educational opportunities as shared through workflow or process  Erie's Patient Access Representatives will be Working from Home, ideally Full Time- 40 hours per week. These hours will be worked within Erie’s Hours of Operation Monday – Sunday. Must be able to work flexible hours which may include evenings and weekends.""]"
479,Communication Center Representative-REMOTE,National Spine and Pain Centers,,,,"['Communications Center Representative  At National Spine & Pain Centers (NSPC), our mission is to relieve pain and improve quality of life through personalized, accessible care. We are currently looking for a Communications Center Representative to support our Fayetteville, NC team in their customer service functions.  Working under the guidance of the Communications Center Manager, you will:  Schedules, reschedules, and cancels every patient appointment properly and according to established NSPC guidelines. Obtains and records patient demographics, insurance information, and all other pertinent details accurately in new and current patient charts to guarantee proper medical care and accurate claim payments. Forwards all prescription requests, including those received through the patient portal, in a timely manner to the responsible provider. We require the following:  High school diploma or general education degree (GED) equivalent. Minimum of two (2) years of cell center experience, preferably in a healthcare environment. Must be able to demonstrate the ability to use PC based office productivity tools (i.e. Microsoft Outlook, Microsoft Excel) as necessary; general computer skills necessary to work effectively in an office environment. Must be able to demonstrate the phone skills required to triage incoming calls and the ability to take clear, concise, and accurate information. Must be authorized to work in the United States and not require work authorization sponsorship by our company for this position now or in the future. Must have satisfactory background check inclusive of driving, criminal, employment reference, education, and social security.  NSPC offers competitive compensation, medical/dental/vision insurance options, life insurance plans, employer-matched 401(k), holidays and paid time off.  We encourage all prospective candidates to learn more about NSPC by viewing our website at http://www.treatingpain.com.  If you would like to join our team, please apply clicking the “START YOUR APPLICATION” button located above/below this description. Please note that incomplete submissions will NOT be considered, and we are not able to respond to telephone requests for information related to our openings.  National Spine & Pain Centers is an Equal Opportunity employer. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status.']"
480,Patient Service Representative,Patient First,,,,"['The responsibilities of this job include, but are not limited to, the following: Helping patients who require assistance while using the kiosk. Taking patients in need of emergency assistance directly to the treatment area to be registered and evaluated by a Physician or Extender; Respectfully handling Physician and Nurse requests in a timely manner; Accurately registering patients in an expedient manner while providing excellent customer service, compassion, and kindness; Verifying all patient demographic, health, pharmacy, and insurance information; Communicating information about Patient First’s billing policies, including insurable and non-insurable charges, as needed; Thoroughly answering questions the patient may have concerning his or her bill and insurance coverage.; Referring billing questions to the appropriate parties as needed; Collecting money and issuing receipts for a patient’s visit, diagnostic studies, and supplies as prompted by the electronic medical record system; Discharging the patient and completing his or her visit by processing incurred charges; Completing all cash management duties to include counting and accounting for money collected at the end of the shift; Obtaining change for the front office, supplies, or other materials as directed by the Patient Service Coordinator (PSC), Direct of Medical Support (DMS), or Charge Nurse; Printing itemized statements as requested; Receiving, sending, and distributing correspondence as directed; Filing and scanning medical documents and office forms as directed; Completing assigned checklists and Policy Manager tasks within the assigned shift; Answering all incoming calls and distributing messages to proper personnel; Assisting with other assignments delegated by the PSC; Demonstrating an efficient understanding of the electronic medical record system; Receiving, moving, and stocking ordered supplies; Cleaning work area and other maintenance assignments as directed; Verifying daily reports are run at the end of the day; Attending staff meetings as scheduled by the PSC or DMS; Being available to assist as needed (breaks and mealtimes may be interrupted at any time to provide necessary patient care or to maintain center operations); Operating, using, and maintaining medical and office equipment as trained; Participating in maintenance assignments when necessary and as directed; Fostering teamwork and ensuring a positive and professional atmosphere; Providing positive, warm, and friendly service in all interactions; Adhering to all established policies and procedures; Completing other duties as directed. Minimum education and professional requirements include, but are not limited to, the following: Must be 18 years of age or older; Basic typing skills; High school graduate or equivalent; Minimum one year of clerical experience preferred; Ability to hear pages, bells, and the phone system; Ability to sit, stand, and walk for up to 7 hours at a time; Ability to lift up to 25 pounds; Excellent visual, verbal, written, and typed communication skills; Ability to prioritize and deal with numerous tasks simultaneously; Willing to work at any center due to a staffing issue, center emergency, or a reduction of work.']"
481,Call Center Agent,Parallon,,,,"['Description SHIFT: Work From Home  SCHEDULE: Temporary  This is part-time (20 hours) work from home position. You must be able to work between 8 am to 5 pm CST. Shift is flexible as long as you are able to work between those hours.  Are you looking for a permanent part-time opportunity with an organization exhibiting excellent company culture? We currently have openings for you to exercise your superb customer service skills assisting our other call center agents in generating revenue for hospitals.  We are committed to providing our colleagues with the support they need. At HCA Healthcare, we offer an array of medical, dental, and vision packages as well as several add-on perks to make your benefits package truly customizable to you. Some of our unique benefits we offer are:  Tuition Reimbursement Moving, mortgage, and real estate assistance 100% matching 401k based on years of service Identity Theft Protection discounts Auto, Home, and Life Insurance options Adoption Assistance Employee Stock Purchase Program (ESPP) Ideal candidates will have a steady work history and excellent attendance patterns. Above all, you should share a passion for our purpose: ""To serve and enable those who care for and improve human life in their community.""  Sound like you? Apply today. Need more reasons to apply? See what made us one of the best places to work.  WHAT CAN WE OFFER YOU? Schedule Flexibility Pay Rate: $13.00 per hour Clear career progression - start part time and work your way up an exceptional team environment  WHAT YOU WILL DO: Place calls to consumers and gain approval to transfer the call to a Customer Service Professional. Leave messages as needed on voicemails and with other people. Provide top notch service on every call. Qualifications No prior experience is required! High School Diploma or GED preferred.  ABOUT US Parallon is an industry leader in revenue cycle services. We partner with over 650 hospitals and 2,400 physician practices nation-wide. Our parent company, HCA Healthcare has been consistently named a World’s Most Ethical Company by Ethisphere and is ranked in the Fortune 100. We are dedicated to ensuring our patients have the best experience even after they leave our facilities.  Apply today!  We are an equal opportunity employer and we value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status or disability status. #ParallonBCOM  Notice Our Company’s recruiters are here to help unlock the next possibility within your career and we take your candidate experience very seriously. During the recruitment process, no recruiter or employee will request financial or personal information (Social Security Number, credit card or bank information, etc.) from you via email. The recruiters will not email you from a public webmail client like Gmail or Yahoo Mail. If you feel suspicious of a job posting or job-related email, let us know by clicking here.  For questions about your job application or this site please contact HCAhrAnswers at 1-844-422-5627 option 1.']"
